pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
3123,69,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/6713/,一部市指定（無形民俗文化財）,気仙沼の打ち囃子,けせんぬまのうちばやし,宮城県気仙沼市,,,,
3124,69,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/6714/,市指定（無形民俗文化財）,気仙沼の大漁唄込（鮪立大漁唄込、崎浜大漁唄込）,けせんぬまのたいりょううたいこみ（しびたちたいりょううたいこみ、さきはまたいりょううたいこみ）,宮城県気仙沼市,,,,
3125,69,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4116/,未指定（天然記念物）,岩井崎（三陸復興国立公園）,,宮城県気仙沼市,38.82674119999999,141.60271119999993,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_d51c04ffd6ee4e21e07e1bfb61b460cd6d4fd23b.jpeg
3126,69,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4117/,未指定（名勝、天然記念物）,氷上山,,岩手県陸前高田市,39.043663099999996,141.64857589999997,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_041f57b81184ce5b79613ef4059518c588490897.jpeg
3127,69,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4118/,市有形（歴史資料）,気仙本吉御絵図,,宮城県気仙沼市,38.8809801,141.5499555,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_8696ad13b43f45d5daa16ee73366cb04b56bc4c1.jpeg
3128,69,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4119/,国宝（建造物の部）,中尊寺金色堂,ちゅうそんじこんじきどう,岩手県平泉町,39.00163069999998,141.10268459999998,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_4d2f10f13e236422c75cf282d50bd3bd9c62507c.jpeg
3129,69,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4120/,重文,金銀蒔絵鏡箱,きんぎんまきえかがみばこ,岩手県平泉町,38.99294709999999,141.111133,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_8898a3a16a9f9238a7fb03712dca15b410ee6727.jpeg
3130,69,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4121/,重文（考古資料）,砂金付着片口鉢破片,さきんふちゃくかたくちばちはへん,岩手県平泉町,38.99294709999999,141.111133,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_21fb1acd7660d56dbafcc30dab220cc085ef47a2.jpeg
3131,69,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4122/,重文（考古資料）,溶解金付着付着坩堝破片,ようかいきんふちゃくるつぼはへん,岩手県平泉町,38.99294709999999,141.111133,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_84109cf3d42feccb9209ef1b3e469d1011829ac1.jpeg
3132,69,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4123/,県史跡,田束山経塚群,,宮城県南三陸町,38.74528380000002,141.47770679999996,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_140144abe003f80ec9bbcd99fa099130353b0b36.jpeg
