pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
2225,45,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3156/,未指定,生野鉱山寮馬車道跡,,兵庫県姫路市兵庫県朝来市兵庫県市川町兵庫県福崎町兵庫県神河町,,,,
2226,45,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3157/,未指定,飾磨津物揚場跡,,兵庫県姫路市,,,,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_3b4b36a78b59a44bef0dfa9bb18582501ed59a61.jpeg
2227,45,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3158/,未指定,馬車道修築碑,,兵庫県姫路市,34.8662148,134.7317946,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_1c169fc81ac878ed5b3725fae8a9e1f12f19b447.jpeg
2228,45,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3159/,未指定,辻川町,,兵庫県福崎町,34.9583631,134.763927,14,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_b514e8dc882358ccdef51d6296541be788373c26.jpeg
2229,45,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3160/,県有形,三木家住宅,,兵庫県福崎町,34.955982,134.7640201,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_50f0d8c76213a1c7c2862d21aca509c1aa017620.jpeg
2230,45,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3161/,未指定,屋形町,,兵庫県市川町,35.0269004,134.7686135,13,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_36607a33a0c7d12845c791ea092e28ef0882f179.jpeg
2231,45,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3162/,未指定,粟賀町,,兵庫県神河町,35.0623714,134.7967222,13,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_ddd9f685112a9b84d362e51191b8138819896986.jpeg
2232,45,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3163/,未指定,竹内家住宅,,兵庫県神河町,35.0705151,134.7783144,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_b23b04d331bf897e4008d7146a0c0a9a04bb69db.jpeg
2233,45,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3164/,国選定重要文化的景観,生野鉱山関連遺構（生野鉱山及び鉱山町の文化的景観,,兵庫県朝来市,35.1638373,134.7873545,13,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_f34e168a9fe934d2a993918d5a6ed031c94d64a6.jpeg
2234,45,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3165/,国選定重要文化的景観,生野鉱山町（生野鉱山及び鉱山町の文化的景観）,,兵庫県朝来市,35.1638373,134.7873545,13,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_6b42d5c2079912450cba22248e1ea948b10d8d91.jpeg
2235,45,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3166/,国重文（有形）、県有形,神子畑鋳鉄橋,,兵庫県朝来市,35.2512389,134.7331442,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_db95a4302b1fafb47d7fea049f7a3ffc37a7ad3f.jpeg
2236,45,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3167/,国重文（有形）、県有形,羽渕鋳鉄橋,,兵庫県朝来市,35.21874080000001,134.7957612,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_c007247f40fe03c13fcc11b5d16ba492a3261514.jpeg
2237,45,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3168/,未指定,神子畑選鉱場跡,,兵庫県朝来市,35.2438975,134.7169556,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_633fb2703cbf548ae5b9fa2f69381fcd4d2be894.jpeg
2238,45,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3169/,県有形,旧神子畑鉱山事務舎（ムーセ旧居）,,兵庫県朝来市,,,,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_470037032bb90b83ae84b623f639b534c2da8d9d.jpeg
2239,45,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3170/,県有形,明延鉱山明神電車,,兵庫県養父市兵庫県朝来市,,,,
2240,45,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3171/,未指定,明延鉱山関連遺構・明延鉱山町,,兵庫県養父市,35.2716558,134.6595355,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_3b4c74c82aecdf117488e412b571858a01eafdcc.jpeg
2241,45,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3172/,未指定,中瀬鉱山関連遺構・中瀬鉱山町,,兵庫県養父市,35.3656027,134.6219386,14,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_cbd3b2e86c3764986f5c061c94f81c0f8d780610.jpeg
