pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
2795,60,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3788/,未指定,葡萄畑,,山梨県山梨市山梨県笛吹市山梨県甲州市,,,,
2796,60,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3789/,国指定重要文化財（彫刻）,木造薬師如来像,,山梨県甲州市,35.6570549,138.7430485,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_81ec2b92f1fe81312699cda50046e159404dc20d.jpeg
2797,60,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3790/,国宝（建造物）,大善寺,,山梨県甲州市,35.6570549,138.7430485,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_cecbd92bfc872902c24058cf702eac1bf55da667.jpeg
2798,60,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3791/,市指定天然記念物,勝沼富町のブドウ（甲州種の原種）,,山梨県甲州市,,,,
2799,60,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3792/,未指定,甲州式棚栽培,,山梨県山梨市山梨県笛吹市山梨県甲州市,,,,
2800,60,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3793/,国登録有形民俗文化財,勝沼のぶどう栽培用具及び葡萄酒醸造用具,,山梨県甲州市,35.6570206,138.7214561,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_17dc5eed8cedaa2229db124b08881a2291943d35.jpeg
2801,60,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3794/,未指定,日川堰堤群,,山梨県甲州市,,,,
2802,60,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3795/,国登録有形文化財（建造物）,勝沼堰堤,,山梨県甲州市,35.6635144,138.7316925,13,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_6a6bebb722250ff467617b8c568ffcc3c15a8878.jpeg
2803,60,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3796/,未指定,日川治水施設,,山梨県甲州市,,,,
2804,60,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3797/,未指定,葡萄貯蔵庫,,山梨県甲州市,,,,
2805,60,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3798/,国宝（建造物）,清白寺,,山梨県山梨市,35.6939566,138.7084376,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_6ac24d3f07217208371d1be882ff00aabb34f1f7.jpeg
2806,60,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3799/,県指定有形文化財（建造物）,上野家住宅,,山梨県山梨市,,,,
2807,60,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3800/,未指定,駒井家住宅,,山梨県山梨市,,,,
2808,60,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3801/,未指定,大村家住宅,,山梨県山梨市,,,,
2809,60,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3802/,未指定,鶴田家住宅,,山梨県山梨市,,,,
2810,60,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3803/,未指定,宮沢家住宅,,山梨県山梨市,,,,
2811,60,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3804/,国登録有形文化財（建造物）,佐藤家住宅,,山梨県甲州市,,,,
2812,60,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3805/,未指定,養蚕農家の特徴を持つ和風建築ワイナリー,,山梨県甲州市,,,,
2813,60,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3806/,未指定,歴史的ワイナリー,,山梨県山梨市山梨県笛吹市山梨県甲州市,,,,
2814,60,20,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3807/,国登録有形文化財（建造物）,ルミエール旧地下発酵槽,,山梨県笛吹市,35.6544351,138.709138,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_edfe18c0af64b5b3068fa8224fd366848707738a.jpeg
2815,60,21,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3808/,未指定,甲州ワイン,,山梨県山梨市山梨県笛吹市山梨県甲州市,,,,
2816,60,22,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3809/,未指定,葡萄酒,,山梨県山梨市山梨県笛吹市山梨県甲州市,,,,
2817,60,23,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3810/,未指定,一宮浅間神社,,山梨県笛吹市,35.64773220000001,138.6975603,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_9ec642d4bdfd95330088cd3ad8123665f8b53f32.jpeg
