pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
2614,55,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3607/,国指定重要無形民俗文化財,アイヌ古式舞踊,アイヌこしきぶよう,北海道旭川市,,,,
2615,55,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3608/,未指定,神居古潭 ～魔神と英雄神の激闘～,,北海道旭川市,43.72663025478272,142.1777552267688,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_f08adb6c640637bd2aaff50184932ec9c4e89a1e.jpeg
2616,55,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3609/,市指定記念物,神居古潭おう穴鮮 ニッネカムイ・オ・ラオシマ・イ ～魔神の足跡～,,北海道旭川市,,,,
2617,55,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3610/,未指定,魔神の胴体ニッネカムイ・ネトパ・ケ,,北海道旭川市,,,,
2618,55,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3611/,未指定,魔神の頭ニッネカムイ・サパ,,北海道旭川市,,,,
2619,55,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3612/,未指定,カムイノミ,,北海道旭川市,,,,
2620,55,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3613/,未指定,石狩川,,北海道旭川市北海道当麻町北海道比布町北海道愛別町北海道上川町,,,,
2621,55,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3614/,未指定,嵐山 ～チノミシリ～,,北海道旭川市,43.810120054211865,142.32110350632934,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_db695ec3d5b959c7dd63be072afd9a948b2ae165.jpeg
2622,55,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3615/,未指定,チカプニ,,北海道旭川市,,,,
2623,55,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3616/,未指定,チノミシリカムイノミ,,北海道旭川市,,,,
2624,55,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3617/,未指定,チセ(家)、プ(貯蔵庫)、ヌササン(祭壇)、アシンル(男性用トイレ) メノコル(女性用トイレ),,北海道旭川市北海道上川町,,,,
2625,55,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3618/,国指定（一部） 特別天然記念物,大雪山 ～カムイミンタラ～,だいせつざん,北海道富良野市北海道上川町北海道東川町北海道上富良野町北海道士幌町北海道上士幌町北海道鹿追町北海道新得町,,,,
2626,55,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3619/,国指定 特別天然記念物,旭岳,あさひだけ,北海道東川町,,,,
2627,55,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3620/,道指定名勝,羽衣の滝,,北海道東川町,,,,
2628,55,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3621/,未指定,天人峡,,北海道東川町,,,,
2629,55,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3622/,未指定,層雲峡,,北海道上川町,,,,
2630,55,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3623/,未指定,銀河・流星の滝,,北海道上川町,,,,
2631,55,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3624/,国指定 特別天然記念物,黒岳,くろだけ,北海道上川町,,,,
2632,55,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3625/,未指定,大雪高原沼,,北海道上川町,,,,
2633,55,20,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3626/,未指定,大函,,北海道上川町,,,,
2634,55,21,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3627/,未指定,原始ヶ原,,北海道富良野市,,,,
2635,55,22,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3628/,国指定 特別天然記念物,十勝岳,とかちだけ,北海道上富良野町北海道新得町,,,,
2636,55,23,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3629/,未指定 （道指定天然記念物）,然別湖（ミヤベイワナの生息地）,,北海道上士幌町北海道鹿追町,43.280673856717485,143.09657242417597,13,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_072f8c050285847be4f304758927106ab7bb9a54.jpeg
2637,55,24,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3630/,未指定,三国峠の大樹海,,北海道上士幌町,,,,
2638,55,25,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/3631/,国指定 特別天然記念物,五色ケ原,ごしきがはら,北海道新得町,,,,
