pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
1222,30,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2087/,国重文,中川原銅鐸,,兵庫県南あわじ市,34.31626000000002,134.73413400000004,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_dda716614b72f8368e9bdc27c46d82adee0999af.jpeg
1223,30,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2088/,国重文,日光寺銅鐸,,兵庫県南あわじ市,34.31626000000002,134.73413400000004,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_f297a40f692387a9b91c910cfc9dab8d604ef1d4.jpeg
1224,30,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2089/,県史跡,銅鐸出土地 中の御堂,,兵庫県南あわじ市,34.35052928737755,134.74305997166675,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_3e359ed781008f8d60bb0ebef317fa24aadbe691.jpeg
1225,30,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2090/,未指定,松帆銅鐸,,兵庫県南あわじ市,34.31626000000002,134.73413400000004,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_cfae84166bd3a778da26c0353eeff722f6daddf9.jpeg
1226,30,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2091/,国重文,慶野銅鐸,,兵庫県洲本市,34.34065444473893,134.90202688954923,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_a656235a9f868404b776d002493e25a685b03179.jpeg
1227,30,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2092/,県有形,古津路銅剣,,兵庫県南あわじ市,34.316585166356035,134.73413400000004,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_a05d96702d9602d0142ef47ace032a394dc7b6e7.jpeg
1228,30,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2093/,国史跡,五斗長垣内遺跡,,兵庫県淡路市,34.50408099999999,134.90839719999997,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_8d6f2d49048adc7f350b18a39c9f328426c0ea11.jpeg
1229,30,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2094/,県有形,五斗長垣内遺跡 出土品,,兵庫県淡路市,34.50408099999999,134.90839719999997,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_32fed6d5c946edf74d9c2bc3b14aff9b70c63ceb.jpeg
1230,30,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2095/,未指定,塩壺西遺跡,,兵庫県淡路市,,,,
1231,30,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2096/,未指定,舟木遺跡,,兵庫県淡路市,34.540416999999984,134.95291700000007,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_91c23307e46f816bf6df1965f430cf8532a20426.jpeg
1232,30,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2097/,未指定,二ツ石戎ノ前遺跡及び出土品,,兵庫県洲本市,,,,
1233,30,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/2098/,未指定,下内膳遺跡,,兵庫県洲本市,34.34065444473893,134.90202688954923,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_3fa056b1d2d8af11493e57df6e3f090ddd52603a.jpeg
