pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
3746,83,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4723/,国名勝・県史跡,伊祖城跡,,沖縄県浦添市,26.258738917104182,127.7223890398521,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_84fe3fc0a476618693da34d56cbc1eef5141396c.jpeg
3747,83,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4724/,県指定・有形文化財（建造物）,伊祖の高御墓,,沖縄県浦添市,26.25507726796922,127.72504119999999,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_f43de3fd81d202e4c7c6a10318d8f7fde3e6abbf.jpeg
3748,83,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4725/,国史跡,浦添城跡,,沖縄県浦添市,26.24721926797494,127.73173279999997,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_bd573816bf1e9ff56e2b078c87722f99bcdebf4b.jpeg
3749,83,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4726/,市史跡,牧港のテラブのガマ,,沖縄県浦添市,26.267323817960442,127.72451,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_ef5a70343a97d6e29545b4478f01aaa064f70fa6.jpeg
3750,83,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4727/,国史跡,浦添ようどれ,,沖縄県浦添市,26.24753,127.73163,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_34bf27c556baeed4f323381f01e7c5502a72a889.jpeg
3751,83,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4728/,国史跡,浦添城の前の碑,,沖縄県浦添市,26.24638,127.73166,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_176ec9f9317bc37bf5aee72a943bb57d0bf979f6.jpeg
3752,83,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4729/,国史跡,中頭方西海道,,沖縄県浦添市,26.24395,127.72551,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_8828ebf13aca09237aecfc76e0e5104923555928.jpeg
3753,83,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4730/,市指定（有形文化財）,琉球交易港図屏風,,沖縄県浦添市,26.25,127.71944,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_5c17ef9beeafa31cd5756ab15349c86e48f54f91.jpeg
3754,83,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4731/,国重文,旧首里城正殿鐘（万国津梁の鐘）,,沖縄県那覇市,26.22731,127.69384,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_33ba57e64210cab7be1524450c1ca8395d52a961.jpeg
3755,83,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4732/,未指定（史跡）,久米村周辺の史跡・旧跡,,沖縄県那覇市,26.21445,127.67487,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_0e95cebf62b7f5163313d080441bba7dab39ce43.jpeg
3756,83,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4733/,未指定（生活文化）,清明祭,,沖縄県那覇市沖縄県浦添市,,,,
3757,83,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4734/,未指定（生活文化）,ウサンミ（お供え物）,,沖縄県那覇市沖縄県浦添市,,,,
3758,83,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4735/,未指定（史跡）,那覇港周辺の旧跡,,沖縄県那覇市,26.21078,127.66983,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_30629005e61baac3ff10434a65ced0dfdc559523.jpeg
3759,83,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4736/,市史跡,上天妃宮跡の石門,,沖縄県那覇市,26.21427,127.67435,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_99a56a322baea9dc6d81b80e523e7b415560f5d4.jpeg
3760,83,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4737/,未指定（記念碑）,久米村600年記念碑,,沖縄県那覇市,26.21799,127.67544,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_c21b4224d326d42e13ef04a191ba94b9ba941fd3.jpeg
3761,83,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4738/,国指定,首里城跡,,沖縄県那覇市,26.21772,127.71698,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_f62b76f38cdca52bf5d93c85703c4b90028cb456.jpeg
3762,83,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4739/,未指定（史跡）,天使館跡,,沖縄県那覇市,26.21364,127.67374,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_3d1072d91e4aa174fbf70f044ffa8d062e32d8b8.jpeg
