pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
3815,85,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4784/,国指定重要文化財（民俗資料）,浄法寺の漆掻きと浄法寺塗の用具及び製品,,岩手県二戸市,40.1961,141.18416,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_0ccfed36c2992fd9b4a5dd35340f2f231410ea95.jpeg
3816,85,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4785/,国選定保存技術,日本産漆生産・精製技術,,岩手県二戸市,40.16671,141.1289,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_f984a859c5bfe40bb45f47df95249fae4138aaa8.jpeg
3817,85,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4786/,未指定（名勝）,漆の森,,岩手県二戸市,40.18922,141.12163,15,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_71a699c4ec0456c26727a728265f43f7d0d405d8.jpeg
3818,85,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4787/,国指定重要文化財（建造物）,天台寺（本堂・仁王門）,,岩手県二戸市,40.19765,141.18637,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_df267800ed14912e3ddb4ec3c6bff39358777d39.jpeg
3819,85,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4788/,県指定文化財（彫刻）,天台寺・舞楽面,,岩手県二戸市,40.19829,141.18657,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_b51acc08cd847222d02b6c97fb73a2ebe233deef.jpeg
3820,85,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4789/,県指定文化財（絵画）,天台寺・漆絵立花図,,岩手県二戸市,40.19829,141.18657,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_829218f623bc63eb99aba3e1f3b8cb82fe1a67d6.jpeg
3821,85,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4790/,県指定文化財（歴史資料）,天台寺・観音籤及び筒,,岩手県二戸市,40.19829,141.18657,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_347feebcad5635312692ddac4a43e6b34c6d7cec.jpeg
3822,85,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4791/,県指定文化財（歴史資料）,天台寺・二尺半長胴太鼓,,岩手県二戸市,40.19829,141.18657,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_6119f6bee5478d4c4e6490c8c62a7b37ba90209d.jpeg
3823,85,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4792/,県指定文化財（民俗資料）,二戸地方の漆蝋関係資料,,岩手県二戸市,40.1961,141.18416,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_67c36bb8d95c605cd214b94f22b5d5891a10d6dd.jpeg
3824,85,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4793/,未指定（考古資料）,漆塗石刀（上杉沢遺跡）,,岩手県二戸市,40.19033,141.10617,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_0ed11ad16fc6216eb638aa1ab699b13117af1a55.jpeg
3825,85,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4794/,未指定（名勝）,稲庭岳,,岩手県二戸市,40.19864,141.04613,12,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_6339f959b49aff7866ec83ac886f67131bf23fce.jpeg
3826,85,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4795/,未指定（民俗資料）,小田島昭夫コレクション,,岩手県二戸市,40.1961,141.18416,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_600663eb0c8cbf64dcdff7e6518a495d1c5a32a3.jpeg
3827,85,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4796/,未指定（民俗資料）,大村コレクション,,岩手県二戸市,40.1961,141.18416,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_5d154cfa2894bea9e22dd1a178f8faae7e02837b.jpeg
3828,85,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4797/,未指定（民俗資料）,佐藤節良家漆関係資料,,岩手県二戸市,40.1961,141.18416,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_c23736b168d9c19b91bd8aefc8abccaabcad37dd.jpeg
3829,85,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4798/,未指定（民俗資料）,菓子盆コレクション,,岩手県二戸市,40.18371,141.15614,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_9b071f41379d3b5d5db0f453ca6f1a80323024b7.jpeg
3830,85,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4799/,未指定（歴史資料）,映画・「うるし日記」,,岩手県二戸市,40.1961,141.18416,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_80e6fb2f09aed053d7b8aafa9748e343330e86d7.jpeg
3831,85,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4800/,県指定文化財（民俗資料）,安比川上流域の木地師関係資料,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_7ff5e6989e3531fe84151cf1dabb8488543f5924.jpeg
3832,85,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4801/,県指定文化財（民俗資料）,赤坂田・関家文書,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_b940d461c6c206db56e31be3a8692148f08497d6.jpeg
3833,85,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4802/,県指定文化財（民俗資料）,木地師元祖略御縁起,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_6af838a810d60b268f0c954f53dd1bbb629b6194.jpeg
3834,85,20,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4803/,八幡平市指定文化財（彫刻）,佐比内　山の神像,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_d7cc1d76723136ec3c18afc4fcf6fe13e7f1ce42.jpeg
3835,85,21,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4804/,未指定（考古資料）,鉢（漆貯蔵）（赤坂田I遺跡）,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_7ab5685d7357a58b55f2fc9ccba7e8259a9356eb.jpeg
3836,85,22,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4805/,未指定（景観）,安比高原ブナの二次林,,岩手県八幡平市,39.99125,140.94132,13,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_85890ffa4f6968ca843bd1bb63d37b6cc0123490.jpeg
3837,85,23,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4806/,未指定（民俗資料）,小山田家塗室,,岩手県八幡平市,39.95651,141.07125,11,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_205352ede43a9aced4deb2b44391f107104b6330.jpeg
3838,85,24,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4807/,未指定（歴史資料）,齋藤家文書・乍恐御請申上候事,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_0d7d857c894283dbd3030ce388eed62bf5505feb.jpeg
3839,85,25,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4808/,未指定（歴史資料）,齋藤家文書・三ツ椀受取証文,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_f9fad677301077b64d391f3b48dce186b8425663.jpeg
3840,85,26,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4809/,未指定（民俗資料）,漆器図案帳,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_d8a09e4d32b77d53d6251aeab7bc154407d52e50.jpeg
3841,85,27,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4810/,未指定（民俗資料）,潤塗吸椀,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_76143758c2be1d66866070a9660b666d1cea5dd1.jpeg
3842,85,28,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4811/,未指定（民俗資料）,青地漆器,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_1dd56624f31282f9b592a626201d83dfdbe3c219.jpeg
3843,85,29,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4812/,未指定（民俗資料）,本膳　四ツ椀　つぼ椀　平椀　吸椀,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_9eefe22933ff71651fed4a78fa391a5d69531e21.jpeg
3844,85,30,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4813/,未指定（民俗資料）,屋号入り漆器,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_9ac952e9c5c918aa86fc0b91eba2b4b89909470e.jpeg
3845,85,31,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4814/,未指定（民俗資料）,絵皿,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_e1d09bb6e5cfa669d0edc263d6c78321566ef7d5.jpeg
3846,85,32,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/5533/,未指定（民俗資料）,雛形,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/images/2022/08/15/6af838a810d60b268f0c954f53dd1bbb629b6194.jpeg
3847,85,33,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4815/,未指定（民俗資料）,柿渋溜め樽,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_776e794f0a8f8f3c082b3fcfdb508ee655afbdf4.jpeg
3848,85,34,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4816/,未指定（民俗資料）,木地,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_9835cfb904c63bdfcfb514aeebfc8639f30e1a2e.jpeg
3849,85,35,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4817/,未指定（民俗資料）,フロ,,岩手県八幡平市,40.10315,141.05237,16,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_deb5347ce8f2bd596ad9793d45372a1e8190dd97.jpeg
3850,85,36,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4818/,未指定（名勝）,安比川,,岩手県二戸市岩手県八幡平市,40.11597,141.07503,14,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_da7719a04d4d2c553badc62a3da421b94a0b3389.jpeg
3851,85,37,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4819/,未指定（無形民俗）,市日,,岩手県二戸市岩手県八幡平市,,,,
3852,85,38,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4820/,未指定（民俗資料）,三ツ椀,,岩手県二戸市岩手県八幡平市,,,,
3853,85,39,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4821/,未指定（工芸品）,経済産業大臣指定伝統的工芸品「浄法寺塗」,,岩手県二戸市岩手県八幡平市,,,,
3854,85,40,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4822/,未指定（無形民俗）,郷土料理,,岩手県二戸市岩手県八幡平市,,,,
3855,85,41,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/4823/,未指定（無形民俗）,どぶろく,,岩手県二戸市,,,,
