pidx,jhno,pno,url,status,name,yomi,spot,lat,lng,zoom,image
169,6,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/715/,国史跡,岐阜城跡,ぎふじょうあと,岐阜県岐阜市,35.43475321504972,136.77876200500182,17,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2023/02/20/500x343_2ae395417f98b42be3d881be00011165_3ef3755b8d2fa335f9ac005e3c37ba3b604123f5.jpg
170,6,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/717/,国重要文化的景観　重要な構成要素,岐阜城復興天守,ぎふじょうふっこうてんしゅ,岐阜県岐阜市,35.43397920000004,136.78205789999998,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_956e05a725cd2234bfcc6a3f7b8ff0d39c7b1788.jpg
171,6,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/719/,市重要文化財,史跡岐阜城跡（織田信長居館跡）出土金箔飾り瓦,しせきぎふじょうあと（おだのぶながきょかんあと）しゅつどきんぱくかざりがわら,岐阜県岐阜市,35.43439369620645,136.77485825404315,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_1c6e258c21975a5b56fe2510fcc3dbcd19f1f02e.jpg
172,6,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/721/,国重要無形民俗文化財,長良川の鵜飼漁の技術,ながらがわのうかいりょうのぎじゅつ,岐阜県岐阜市,35.43915834621128,136.77446514572733,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_df52fce135c53707af6f3f046100c56b7bdeed27.jpg
173,6,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/723/,国重要無民俗文化有形,長良川鵜飼用具,ながらがわうかいようぐ,岐阜県岐阜市,35.43915834621128,136.77446514572733,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_ff4db466a94fcd9ae388be74cdfc0c45c56ea534.jpg
174,6,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/725/,市無形民俗文化財,長良川鵜飼観覧船造船技術,ながらがわうかいかんらんせんぞうせんぎじゅつ,岐阜県岐阜市,35.43773650000001,136.775448,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_2325327b9a6a0d1d863370dc4ce49f54f91f9621.jpg
175,6,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/727/,市無形民俗文化財,長良川鵜飼観覧船操船技術,ながらがわうかいかんらんせんそうせんぎじゅつ,岐阜県岐阜市,35.43773650000001,136.775448,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_a1ea6cb3871c509bb6f3030cb7b157ee79d417db.jpg
176,6,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/729/,市無形民俗文化財,鵜匠家に伝承する鮎鮓製造技術,うしょうけにでんしょうするあゆずしせいぞうぎじゅつ,岐阜県岐阜市,35.441120400000024,136.77879529999998,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_3aba6045801b6d864c099cb4fadc584d37630151.jpg
177,6,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/731/,未指定,長良川まつり・鮎供養,ながらがわまつり・あゆくよう,岐阜県岐阜市,35.44106209489051,136.77436709403992,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_a09d9cc2cb69c21f1a1794e3373a54892caa746a.jpg
178,6,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/733/,未指定,船上の遊宴文化,せんじょうのゆえんぶんか,岐阜県岐阜市,35.43788790000001,136.7726736,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_a5f79c6f254d91287e92ae98c01760a382aa992b.jpg
179,6,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/735/,国重要文化的景観　重要な構成要素,長良川中流域における岐阜の文化的景観,ながらがわちゅうりゅういきにおけるぎふのぶんかてきけいかん,岐阜県岐阜市,,,,
180,6,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/737/,国重要文化的景観　重要な構成要素,後楽荘（日本料理店）,こうらくそう,岐阜県岐阜市,35.43146210000004,136.7681895000001,19,https://japan-heritage.bunka.go.jp/ja/datas/images/2023/02/20/6188737250c4dcfbfa0ed5ec475d8387ce4d7575.jpg
181,6,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/739/,国重要文化的景観　重要な構成要素,川原町屋（喫茶店）,かわらまちや,岐阜県岐阜市,35.436795635360156,136.77121257294328,19,https://japan-heritage.bunka.go.jp/ja/datas/images/2023/02/20/94e2d9fb6a6494490466dc7bb1e6e6a36411523b.jpg
182,6,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/741/,国重要文化的景観　重要な構成要素,鵜匠家,うしょうけ,岐阜県岐阜市,35.4415192030221,136.77713367151526,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2023/02/20/500x343_2ae395417f98b42be3d881be00011165_6afabc8060074fb3dee600c7780526d94f250c5a.jpg
183,6,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/743/,国重要文化的景観　重要な構成要素,川原町のまちなみ,かわらまちのまちなみ,岐阜県岐阜市,35.436932999999996,136.7713897,18,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_33dd082aca4556eec1a5b5a6194ad6bdae44b677.jpg
184,6,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/745/,国重要文化的景観　重要な構成要素,御鮨街道のまちなみ,おすしかいどうのまちなみ,岐阜県岐阜市,35.430830799999995,136.76684459999998,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2023/02/20/500x343_2ae395417f98b42be3d881be00011165_9d0ecb527908c56c6da68a149c1bc4060ee5c7d9.jpg
185,6,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/747/,国重要文化的景観　重要な構成要素,妙照寺本堂・庫裏,みょうしょうじほんどう・くり,岐阜県岐阜市,35.43161400000003,136.77108859999998,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2023/02/27/500x343_2ae395417f98b42be3d881be00011165_6cefde2441e17335c1ee9215ac77cd6872b7677d.jpg
186,6,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/749/,国重要文化財,楽市楽座制札附織田信長　百姓帰住制札５点,らくいちらくざせいさつ　つけたり　おだのぶながひゃくしょうきじゅうせいさつ,岐阜県岐阜市,35.415572000000004,136.75937599999997,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_562f2b66596051f00e8b2fafa44de8be8c75297a.jpg
187,6,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/751/,国重要文化的景観　重要な構成要素,善光寺,ぜんこうじ,岐阜県岐阜市,35.428139,136.768319,19,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/15/500x343_2ae395417f98b42be3d881be00011165_c637469f0aae74b27c38d5671ccda0033b1bf43d.jpg
