day,jhno,type,title,description,areas,url,image
2017-03-17,19,その他,「政宗が育んだ“伊達”な文化」ホームページ,このたび、「政宗が育んだ“伊達”な文化」をご紹介する多言語対応のホームページを開設いたしました。,宮城県,https://japan-heritage.bunka.go.jp/ja/news/207/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_544a9589eea30e1b661b5ff047007adb2f025cc3.jpeg
2017-03-28,27,メディア,「珠玉と歩む物語」小松　〜時の流れの中で磨き上げた石の文化〜,こまつ観光物産ネットワーク ホームページ,石川県,https://japan-heritage.bunka.go.jp/ja/news/9/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_5c0dc474c8b4209205ee6db0665c697a32067bcb.jpeg
2017-03-28,27,メディア,「珠玉と石の物語」小松 PR映像,小松市制作のPR映像,石川県,https://japan-heritage.bunka.go.jp/ja/news/10/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_7af0581a0dad7c4f436235e4205360d93a471a59.jpeg
2017-03-28,27,メディア,日本遺産を巡る旅2017,石川県小松市,石川県,https://japan-heritage.bunka.go.jp/ja/news/11/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_0eea1f9833670275b5104f499da4da4fd8ceadd0.jpeg
2017-05-11,10,メディア,丹波篠山 -動画で味わう日本遺産,丹波篠山の風景や魅力を動画でご覧いただくためのサイトです,兵庫県,https://japan-heritage.bunka.go.jp/ja/news/13/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_78470ff0dddcbad4124414d05fcf6c31d9281d07.jpeg
2017-05-16,10,イベント,篠山市菊花展,11月上旬　開催,兵庫県,https://japan-heritage.bunka.go.jp/ja/news/14/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_16013950ade834754c7904746a32234526cc40d0.jpeg
2017-05-16,10,イベント,多紀連山アルペンルート登山,11月上旬　多紀連山アルペンルート(篠山市火打岩),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/15/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_e89f33057d81574ef94a1ca15da1155bb3522a55.jpeg
2017-05-16,10,イベント,丹波焼陶器まつり,10月中旬 立杭陶の郷、兵庫陶芸美術館、今田支所周辺、各釜元(篠山市今田町),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/16/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_f8c7578ba2f0ff361be5a373ddbf6180059fca4f.jpeg
2017-05-16,10,イベント,全国車いすマラソン大会,9月下旬　スタート・ゴール(篠山城跡三の丸広場),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/18/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_81d02da02c214eb3edef9b03b425a43aa9c9fe0b.jpeg
2017-05-16,10,イベント,丹波篠山デカンショ祭,8月15日・16日　篠山城跡三の丸広場周辺(篠山北新町),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/19/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_22bd32f55186d38dc9d91ae6760d41b1a7225951.jpeg
2017-05-16,10,イベント,大国寺と丹波茶まつり,6月上旬　大国寺と茶の里会館周辺(篠山市味間奥),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/20/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_d2413f080e3da0fbf2d4728aabbf96c5f022f7cf.jpeg
2017-05-16,10,イベント,丹波篠山山開き,5月上旬,兵庫県,https://japan-heritage.bunka.go.jp/ja/news/21/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_e4df1e31edb3a320a07699c8e896a6b53bfddbd3.jpeg
2017-05-16,10,イベント,やきものの里　春ものがたり,4月下旬　立杭陶の郷、兵庫陶芸美術館、こんだ薬師温泉、ぬくもりの郷、窯元で開催,兵庫県,https://japan-heritage.bunka.go.jp/ja/news/23/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_a98ebfe8540573c0d5724a8fb86166869dcfeedd.jpeg
2017-05-16,10,イベント,丹波篠山さくらまつり,4月上旬 篠山城跡三の丸広場特設花見会場(篠山市北新町),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/24/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_4968de12fada0908f2a944a984e6ff83da9af30a.jpeg
2017-05-16,10,イベント,篠山春日能,4月上旬　春日神社(篠山市黒岡75),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/25/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_7a7ad27b8638089168af7a7b63afbca82aaff77d.jpeg
2017-05-16,10,イベント,篠山ABCマラソン大会,3月上旬　スタート・ゴール(篠山城跡三の丸広場),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/26/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_b8f3d33d4fc2cf96086cbd89ee2e311ef76bd923.jpeg
2017-05-16,10,イベント,元朝能「翁」,1月1日　春日神社(篠山市黒岡75),兵庫県,https://japan-heritage.bunka.go.jp/ja/news/27/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_7bb07e658342cb34563ff3db662c2c45c5c43cca.jpeg
2017-07-12,13,イベント,いっしょに　踊らん？　津和野で踊る400年目の盆踊り,津和野の盆踊りは、400年の歴史があるお祭りです。8月15日、たくさんの方のご参加をお待ちしています。,島根県,https://japan-heritage.bunka.go.jp/ja/news/34/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_e3cd31bdda55134c2550567de711b7fe6376d8b0.jpeg
2017-07-13,13,その他,現代の「津和野百景図」写真コンテスト第１期　写真展開催中！,力作ぞろいのコンテスト第１期！　第２期も絶賛募集中です(^O^)／,島根県,https://japan-heritage.bunka.go.jp/ja/news/35/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_4cac47c48a720404858b8bcd149457cf033d60db.jpeg
2017-07-13,54,その他,「やばけい遊覧」のストーリーパンフレット＆PR動画を作成しました！,「やばけい遊覧」のお供にぜひどうぞ♪耶馬渓は元気です！！,大分県,https://japan-heritage.bunka.go.jp/ja/news/36/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_170cb6197d0e034b4bf27a2882ad84b4a2e67a5f.jpeg
2017-07-14,13,イベント,【特別講座】 7/20(木)・27(木)鷺舞神事見学プラン！,400年以上の伝統がある鷺舞を、深く知って堪能するプランです（お土産つき♪）,島根県,https://japan-heritage.bunka.go.jp/ja/news/37/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_3f80762088cb339a3336743156c620ee6e81c892.jpeg
2017-07-19,13,メディア,「津和野踊り伝来400年記念盆踊り」PRムービー公開！,お盆休みは、津和野に集合！　殿町で踊る盆踊りに今年参加すると400人にステキなプレゼント贈呈！,島根県,https://japan-heritage.bunka.go.jp/ja/news/38/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_8383d185d9b9e2052d189fbf1084ac85f0b83782.jpeg
2017-07-21,54,イベント,耶馬渓（やばけい）に伝わる「かっぱ祭り」がスタートします！,子河童たちが愛らしい「かっぱ祭り」に来ませんか？,大分県,https://japan-heritage.bunka.go.jp/ja/news/39/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_04c9f5ec80f481a857a93d35ea8c4b0366dd1192.jpeg
2017-07-31,13,イベント,現代の「津和野百景図」写真コンテスト第２期　作品募集中（〜9/30まで！）,現代の津和野、100年後も残したい風景をフレームに収めて、ご応募ください＼(^o^)／,島根県,https://japan-heritage.bunka.go.jp/ja/news/40/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_211154d91386496f89401ca25100a70dcf80944e.jpeg
2017-08-09,54,その他,機関庫転車台が４６年ぶりに復活！,円形転車台が自動で動くようになりました！,大分県,https://japan-heritage.bunka.go.jp/ja/news/43/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_0445ec42e086ce885611779466581a143492d82d.jpeg
2017-08-10,49,イベント,大原美術館「チルドレンズ・アート・ミュージアム2017」,今年の夏は倉敷でアートな夏祭りを楽しみませんか！,岡山県,https://japan-heritage.bunka.go.jp/ja/news/41/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_4a3492134a595aafdb170421696143044d6492d6.jpeg
2017-08-14,34,その他,たたらの里周遊バスツアー,日本遺産構成文化財などを周遊する日帰りバスツアーです。,島根県,https://japan-heritage.bunka.go.jp/ja/news/45/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_5d1b2b4ce4f0fe5cb4dca0d4afbaf491dc2998b9.jpeg
2017-08-25,54,その他,水しぶきをあびて、ダイナミックなやばけい遊覧はいかが？,初心者大歓迎！ウォータースポーツに挑戦しませんか？,大分県,https://japan-heritage.bunka.go.jp/ja/news/52/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_8a2ff4da00c14ce0f5769cfe966a5aa7cc6514dc.jpeg
2017-08-30,10,イベント,日本遺産認定記念ピンバッジ販売中です！,ぜひこの機会にお買い求めください,兵庫県,https://japan-heritage.bunka.go.jp/ja/news/53/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_9e04d1feb207173172a210b95d3b917d5d5e1112.jpeg
2017-09-01,49,メディア,ＮＨＫラジオ番組「旅ラジ！」,"ラジオイベントカー""90ちゃん号""が倉敷に！全国に向けて生中継！",岡山県,https://japan-heritage.bunka.go.jp/ja/news/48/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_0467b310607c156ad9a34c5b31b7917651233b93.jpeg
2017-09-04,54,イベント,鱧（はも）のお刺身の味、知っていますか？,鱧の刺身に鱧の寿司・・食べたことないなんてもったいない！「はもフェアー」開催中,大分県,https://japan-heritage.bunka.go.jp/ja/news/56/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_bd08a6ead85138db423561e43ebcfd1d639308ba.jpeg
2017-09-05,49,イベント,サンセットフェスタinこじま ～鷲羽山から夕陽と音のコンチェルト～,美しい瀬戸の夕陽を背景に、和洋楽器の生演奏を楽しみませんか。,岡山県,https://japan-heritage.bunka.go.jp/ja/news/49/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_6768711ef4ba7d3e15b69b9b61fce219bed61760.jpeg
2017-09-05,49,イベント,下津井節全国大会,岡山県を代表する民謡「下津井節」の日本一を決める全国大会！,岡山県,https://japan-heritage.bunka.go.jp/ja/news/50/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_5ee792d6f5e6fcbe5440dd3af7767365684d43ed.jpeg
2017-09-05,49,その他,ジーンズ議会開催中！,倉敷市議会9月定例会は「ジーンズ議会」！,岡山県,https://japan-heritage.bunka.go.jp/ja/news/57/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_01942a19d5392e1785b389e6af123059255a9745.jpeg
2017-09-06,5,イベント,小浜放生祭,福井県小浜市（鯖街道起点）,福井県,https://japan-heritage.bunka.go.jp/ja/news/59/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_1385104a0bf55e7fa5039e729f4a32a2699a84a1.jpeg
2017-09-10,54,イベント,「耶馬三城を攻めろ！」～黒田官兵衛ゆかりの城址を目指せ！！～,トレッキング愛好家・山城マニアも大満足のコースをご用意しました(^^),大分県,https://japan-heritage.bunka.go.jp/ja/news/60/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_b0494be26a20b4adfa8f00f2f1752b4f9754c06d.jpeg
2017-09-21,54,イベント,2800万本のコスモスに包まれたあなたをドローンで撮影します♪,見渡す限り一面のコスモスの海で、とっておきの思い出をつくりませんか,大分県,https://japan-heritage.bunka.go.jp/ja/news/62/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_3686f7277d8d4b7e3c5cc22bbbf77f3fdbbb8004.jpeg
2017-09-22,5,イベント,ニッポンたからものプロジェクト小浜旭座公演,鯖街道の起点／若狭おばま,福井県,https://japan-heritage.bunka.go.jp/ja/news/63/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_a36162f22be5d912dc1d63b61aab03ff383e787b.jpeg
2017-09-26,8,イベント,日本遺産 滋賀・びわ湖 水の文化ぐるっと博,「ぐるっと博」では、滋賀県全体を博覧会の会場に見立てて、『日本遺産』を中心に県内各地を巡る様々な催しを展開！,滋賀県,https://japan-heritage.bunka.go.jp/ja/news/64/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_e77ea16903adf4e17b310176523ccf015e0b6bc4.jpeg
2017-09-27,10,メディア,丹波篠山観光情報facebookページをご覧ください！,兵庫県篠山市,兵庫県,https://japan-heritage.bunka.go.jp/ja/news/66/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_bd585ecc41a641f134d87bd02644effb7609fe45.jpeg
2017-10-04,8,イベント,びわ湖プレミアムクルージング～パワースポット・日本遺産を訪ねて～,日本遺産　滋賀・びわ湖の認定スポットを巡る特別クルーズ。 優雅で特別なひとときを過ごし、滋賀・びわ湖の日本遺産を巡ろう,滋賀県,https://japan-heritage.bunka.go.jp/ja/news/75/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_439b393d46bbdc2d109fc328411142fcd73c88f6.jpeg
2017-10-05,49,イベント,高梁川マルシェ,大橋家住宅で「高梁川マルシェ」を開催！,岡山県,https://japan-heritage.bunka.go.jp/ja/news/76/,https://japan-heritage.bunka.go.jp/ja/datas/cache/images/2022/08/31/328x181_ea1e9d427fb5664c32c517a73e421e58_bbbcf6b6ff84698c62076318f8c6154e629337b2.jpeg
